id,avatar,posts,followers,likes,engagement_rate
1253,salshabillaadr,1.7K,13M,1.71K,2.2
1254,thylaneblondeau,1.2K,6.2M,1.22K,0
1255,lacoste,3.3K,6.2M,3.29K,0.4
1256,lawofbeauty,1.1K,6.2M,1.08K,0.2
1257,juli.annee,0.9K,6.2M,0.91K,2.7
1258,kaiagerber,1K,6.2M,1.01K,3.2
1259,oohsehun,796,22.5M,796,8.7
1260,jadepicon,2.5K,20.3M,2.47K,1.7
1261,redbull,9.3K,16.5M,9.33K,0.8
1262,bocajrsoficial,12.7K,7.4M,12.70K,1.4
1263,mulatto,1.1K,7.4M,1.11K,8.1
1264,paulnicklen,3.2K,7.4M,3.16K,1.1
1265,hichasestokes,102,7.4M,102,15.3
1266,biel,612,7.4M,612,1.4
1267,rolex,1.3K,13.1M,1.27K,0.8
1268,lizzobeeating,2.8K,13.1M,2.82K,3.7
1269,tonykakkar,1.7K,8.7M,1.71K,2.7
1270,jimenasanchezmx,2.7K,8.7M,2.74K,1.2
1271,susana.dxoxo,240,8.7M,240,1.2
1272,evelynregly,8.2K,6.2M,8.18K,2.5
1273,carolinacruzosorio,16.3K,6.2M,16.27K,0.8
1274,shitheadsteve,8.3K,6.2M,8.33K,1.3
1275,blacchyna,264,16.5M,264,0.2
1276,anaclaraac,1.8K,10M,1.78K,2
1277,lorealparis,9.8K,10M,9.78K,0
1278,colourpopcosmetics,11.7K,10M,11.71K,0.3
1279,tahaozer,4.8K,10M,4.84K,0.1
1280,primark,15.3K,10M,15.29K,0.2
1281,rauwalejandro,1,7.4M,1,9
1282,pilarrubio,2.1K,8.7M,2.09K,0.7
1283,sarahhyland,896,8.7M,896,3.1
1284,margie_rasri,4.6K,8.7M,4.64K,1.3
1285,annemarie,649,8.7M,649,3.9
1286,virgilvandijk,610,13.1M,610,2.8
1287,tylerperry,731,6.3M,731,3.2
1288,jannanick,4.1K,6.3M,4.08K,0.8
1289,luisanalopilato,1.5K,6.3M,1.46K,1.7
1290,julinhagomes,2.5K,6.3M,2.55K,0.7
1291,jaychou,742,6.3M,742,1.5
1292,lanarhoades,39,16.6M,39,8.1
1293,jorgeemateus,5.1K,16.6M,5.08K,0.1
1294,nowunited,3.3K,7.4M,3.30K,2.7
1295,ghantaa,1.8K,7.4M,1.78K,0.9
1296,multishow,13.6K,7.4M,13.64K,0.2
1297,carlosvives,4.7K,7.4M,4.73K,0.4
1298,mytherapistsays,9.9K,7.4M,9.86K,2.1
1299,haya_abdul_salam,1.8K,7.4M,1.76K,0.2
1300,tartecosmetics,11.9K,10.1M,11.90K,0.1
1301,mariahcarey,2.5K,10.1M,2.50K,2
1302,hamisamobetto,1.3K,10M,1.32K,0.5
1303,viking.barbie,413,11.5M,413,1.4
1304,liluzivert,27,14.8M,27,10.4
1305,ileana_official,1.3K,14.8M,1.32K,2
1306,disneychannel,4.7K,8.7M,4.69K,0.1
1307,maiaestiantyreal,3.5K,20.4M,3.47K,0.2
1308,netflixlat,3.1K,20.4M,3.13K,0.9
1309,diddy,0,18.3M,0,0.6
1310,svetabily,542,6.3M,542,2.3
1311,fabioporchat,2.9K,6.3M,2.86K,0.8
1312,yesung1106,506,6.3M,506,2.1
1313,chloelukasiak,1.4K,6.3M,1.37K,1.6
1314,gq,11.5K,6.3M,11.52K,0.3
1315,ayushmannk,1.2K,16.6M,1.22K,1.6
1316,kristenhanby,544,7.4M,544,4
1317,fifiabdouofficial,4.4K,7.4M,4.41K,0.2
1318,dilettaleotta,2K,7.4M,2.03K,5
1319,nintendo,1.9K,7.4M,1.95K,1
1320,layzhang,295,13.1M,295,6.5
1321,maybelline,2.6K,11.6M,2.62K,0.1
1322,feliciathegoat,481,11.6M,481,13.2
1323,marcoasensio10,896,14.8M,896,1.9
1324,allusnehareddy,527,8.7M,527,3.4
1325,vegas_nay,2.4K,6.3M,2.43K,0.4
1326,bretmanrock,1.7K,18.3M,1.71K,4.7
1327,ivanmartinez,80,18.3M,80,3
1328,3gerardpique,439,20.4M,439,3.6
1329,burakozcivit,175,16.6M,175,4.3
1330,6ar8o,1.4K,10.1M,1.36K,0.1
1331,easymoneysniper,32,13.1M,32,5.6
1332,somsomi0309,383,13.1M,383,8.9
1333,sonambajwa,2.7K,7.4M,2.72K,3
1334,ubisoft,1.3K,7.4M,1.33K,0.7
1335,alessandraambrosio,7.1K,11.6M,7.07K,0.4
1336,goar_avetisyan,10.2K,11.6M,10.24K,5.1
1337,bellacampen,5.1K,8.7M,5.08K,1.5
1338,miktambayong,877,6.3M,877,1.1
1339,imsebastianstan,311,6.3M,311,11.3
1340,sontungmtp,1.3K,6.3M,1.28K,5.6
1341,alexandradaddario,1.7K,20.4M,1.69K,3.5
1342,bbb,3.8K,18.3M,3.82K,2.9
1343,vousmevoyez,613,10.1M,613,5.4
1344,iam_emoney1,1K,10.1M,1.03K,0.4
1345,2chainz,9.1K,10.1M,9.14K,0.4
1346,tvglobo,33.8K,13.1M,33.76K,0.4
1347,nikewomen,1K,7.4M,0.98K,0.6
1348,stefannwilliam,740,7.4M,740,1.3
1349,falcao12oficial,2.9K,8.7M,2.86K,1.2
1350,atleticodemadrid,16.4K,14.9M,16.39K,0.2
1351,flaviapavanelli,2.9K,18.4M,2.91K,1
1352,riteishd,1.6K,18.4M,1.64K,1.8
1353,hazalkaya,203,6.3M,203,8
1354,aajtak,45.8K,6.3M,45.75K,0.1
1355,mirandakerr,3K,13.1M,2.97K,0.7
1356,officialkanikamann,3.3K,7.5M,3.34K,1.3
1357,metallica,3.8K,7.5M,3.79K,1.6
1358,krystledsouza,2.9K,7.4M,2.91K,1.1
1359,swarovski,0.9K,7.4M,0.91K,0.1
1360,balenciaga,2K,11.6M,1,0.3
1361,alghazali7,1.3K,14.9M,1.27K,0.7
1362,lilbaby,36,14.9M,36,6
1363,sbt,17.8K,8.7M,17.79K,0
1364,hziyech,219,6.3M,219,5.6
1365,tinistoessel,2.8K,16.7M,2.81K,3.7
1366,armaanmalik,638,13.2M,638,1.8
1367,ashanti,4.4K,7.5M,4.43K,1.5
1368,senoritasaeva,216,7.5M,216,5.3
1369,pampitaoficial,3K,7.5M,2.98K,1.3
1370,kandi,10.3K,10.1M,10.31K,0.5
1371,yefersoncossio,432,10.1M,432,11.9
1372,arcangel,183,11.6M,183,2.7
1373,adamsandler,385,11.6M,385,3.5
1374,e_milygarcia,1.1K,11.6M,1.06K,3.9
1375,francesconappoph,105,6.3M,105,1.2
1376,ibtissamtiskatofficial,1.1K,6.3M,1.10K,0.9
1377,aracelyarambula,5.4K,6.3M,5.36K,0.2
1378,iplt20,5.6K,6.3M,5.64K,1
1379,themermaidscales,2.2K,6.3M,2.22K,4.1
1380,kingarturo23oficial,2K,16.7M,2.04K,1.3
1381,moneybaggyo,28,7.5M,28,3.5
1382,babyariel,279,10.1M,279,0.9
1383,supassra_sp,2.2K,10.1M,2.18K,1.6
1384,instantbollywood,65.7K,11.6M,65.69K,0.3
1385,jharden13,72,11.6M,72,3.3
1386,marcanthony,2.4K,11.6M,2.40K,0.9
1387,marcusrashford,772,13.2M,772,4.7
1388,gabbi,3.9K,8.8M,3.86K,1.4
1389,evalongoria,5K,8.8M,4.95K,0.9
1390,inter,12.5K,8.8M,12.46K,0.8
1391,lindseypelas,1.8K,8.8M,1.81K,0.6
1392,audimarissa,1.4K,14.9M,1.37K,0.5
1393,samsmith,4,14.9M,4,1.9
1394,najwashihab,4.4K,22.6M,4.40K,0.9
1395,idrissultan,7.2K,6.3M,7.22K,0.2
1396,eva_andressa,7.3K,6.3M,7.31K,0.7
1397,dylanminnette,249,7.5M,249,12.1
1398,mclaren,7.3K,10.1M,7.26K,1
1399,rizkybillar,312,10.1M,312,10.8
1400,thedodo,7.3K,10.1M,7.31K,1.9
1401,suzannajmaldeen,3K,10.1M,3K,0.4
1402,loudgg,1.3K,11.6M,1.31K,1.3
1403,meghan_trainor,2.1K,11.6M,2.05K,1.9
1404,xavi,200,8.8M,200,3.4
1405,teyanataylor,4.3K,14.9M,4.26K,3.2
1406,shahdaisy,607,6.3M,607,0.7
1407,farahdhukai,764,6.3M,764,9.3
1408,anirudhofficial,1.4K,6.3M,1.42K,2.8
1409,youneszarou,1.2K,6.3M,1.25K,1.9
1410,emporioarmani,9K,18.4M,9.01K,0
1411,vishalpandey_21,2.7K,10.2M,2.70K,0.7
1412,austinmahone,114,10.2M,114,1
1413,myketowers,2.6K,7.5M,2.61K,7.6
1414,grefg_official,0.9K,7.5M,0.94K,6.3
1415,tonyhawk,6.5K,7.5M,6.50K,0.9
1416,treysongz,2.5K,13.2M,2.52K,0.6
1417,piyanka_mongia,490,8.8M,490,0.9
1418,g_eazy,59,8.8M,59,1.9
1419,jasonderulo,631,8.8M,631,3.4
1420,bpraak,2.7K,6.3M,2.72K,2.8
1421,gshow,8.2K,6.3M,8.17K,0.4
1422,therealmaryjblige,588,6.3M,588,2.3
1423,alejandrosanz,2.9K,6.3M,2.95K,1.4
1424,maribelguardia,3K,6.3M,2.99K,0.9
1425,maisie_williams,68,10.2M,68,2.2
1426,losangelesconfidential,8K,11.7M,7.97K,0.7
1427,dearra,431,6.4M,431,10
1428,nehadhupia,4K,6.4M,4.01K,0.6
1429,enews,42.7K,20.6M,42.74K,0.2
1430,angelcandices,1.4K,16.7M,1.40K,0.7
1431,cita_citata,3.3K,16.7M,3.25K,0.1
1432,emmaroberts,1.4K,16.7M,1.44K,4.9
1433,belindapop,95,13.2M,95,3.2
1434,friends,1.1K,11.7M,1.07K,3.4
1435,vogueparis,6.4K,7.5M,6.43K,0.3
1436,boohoo,15.2K,7.5M,15.23K,0.1
1437,soycarolinadiaz,278,7.5M,278,3.1
1438,makeupbymario,7.4K,10.2M,7.36K,0.1
1439,jaredleto,3.3K,10.2M,3.35K,2.4
1440,mclivinho,83,10.2M,83,1.8
1441,jiffpom,797,10.2M,797,0.3
1442,nehasharmaofficial,1.3K,15M,1.31K,2.3
1443,irinashayk,1.3K,15M,1.33K,2.3
1444,luizaparente,1.5K,8.8M,1.54K,1.4
1445,alanwalkermusic,788,8.8M,788,1.7
1446,michaelbjordan,36,18.5M,36,6
1447,offsetyrn,2.7K,18.5M,2.73K,2.8
1448,ronaldo,1.3K,22.7M,1.33K,0.5
1449,ozuna,60,22.7M,60,1.3
1450,johnnyorlando,472,6.4M,472,4.1
1451,traveltofuture,366,6.4M,1,0
1452,rubyrose,542,20.6M,542,1
1453,memes,18.2K,7.5M,18.16K,1.2
1454,bebytsabina,1K,7.5M,1.05K,2.7
1455,unicef,9K,10.2M,8.96K,0.2
1456,mathildtantot,128,10.2M,128,5.6
1457,micheltelo,2.9K,11.7M,2.91K,0.4
1458,kingryan,612,8.8M,612,7.5
1459,dacremontgomery,138,6.4M,138,3.3
1460,visubal,12.5K,6.4M,12.52K,0.5
1461,obj,185,16.8M,185,2.8
1462,nikkietutorials,2.9K,16.8M,2.90K,2.2
1463,caiocastro,2K,20.6M,1.99K,0.5
1464,koreadispatch,39.1K,11.7M,39.09K,0.2
1465,didierdrogba,1.3K,11.7M,1.28K,1.7
1466,zouhairbahaoui,2.6K,7.5M,2.62K,1.5
1467,levis,4K,7.5M,4.03K,0.1
1468,shirleysetia,1.4K,7.5M,1.45K,3.8
1469,nadine,546,10.2M,546,2.4
1470,cp3,1.4K,10.2M,1.41K,1.3
1471,alexis_officia1,793,15M,793,1.5
1472,sophiet,427,15M,427,10.5
1473,hasnaink07,2K,13.3M,2.03K,1.6
1474,brfootball,41.7K,8.8M,41.66K,2.9
1475,ulissesworld,6.4K,8.8M,6.43K,0.7
1476,pixar,4.2K,8.8M,4.21K,0.9
1477,moustfakhater,1.6K,7.6M,1.59K,0.6
1478,rondarousey,3.3K,13.3M,3.31K,0.4
1479,bipashabasu,3.9K,8.8M,3.93K,0.8
1480,ted,1.6K,6.4M,1.57K,0.4
1481,feminist,7K,6.4M,6.98K,2.6
1482,manushi_chhillar,569,6.4M,569,2.5
1483,gunsnroses,2.3K,6.4M,2.30K,2.1
1484,nissan,5.4K,6.4M,5.40K,0.3
1485,kobebryant,426,20.7M,426,14.3
1486,amrdiab,1.2K,15.1M,1.19K,0.5
1487,skysports,23.9K,10.2M,23.90K,0.7
1488,chennaiipl,6.4K,7.6M,6.37K,3.2
1489,mastercorbuzier,4.8K,8.9M,4.76K,4.3
1490,claurakiehl,1.6K,8.8M,1.61K,0.6
1491,gauaharkhan,3K,8.8M,3K,1.5
1492,verzuztv,633,6.4M,633,1.3
1493,saddu07dz,1.6K,6.4M,1.62K,1.4
1494,emirates,2.3K,6.4M,2.25K,0.7
1495,girl,1.7K,6.4M,1.68K,0.4
1496,lilyachty,81,10.3M,81,2
1497,paulolondra,442,10.2M,442,14.9
1498,lunay,464,10.2M,464,3.9
1499,ahmedhelmy,882,15.1M,882,1.8
1500,sarcastic_us,11.4K,7.6M,11.36K,1.6
1501,iamdesibanks,2.6K,7.6M,2.62K,6.2
1502,dirtyminds,310,8.9M,310,0.5
1503,sofiaalcastro,583,8.9M,583,4.1
1504,maiaraemaraisa,4.7K,8.9M,4.74K,0.2
1505,officialslystallone,1.6K,13.3M,1.59K,1.9
1506,bigsean,220,13.3M,220,2.2
1507,jaclynhill,1.6K,6.4M,1.58K,2.5
1508,corinnakopf,785,6.4M,785,14.1
1509,ananda,2K,6.4M,2.04K,2.2
1510,leighannepinnock,2.5K,6.4M,2.48K,4.3
1511,tiesto,79,6.4M,79,1.4
1512,gadiiing,11.6K,22.8M,11.59K,0.3
1513,fifthharmony,1.6K,10.3M,1.60K,3.5
1514,asaprocky,22,15.1M,22,5.4
1515,michelle_lewin,1.7K,15.1M,1.69K,0.8
1516,tiffanyyoungofficial,334,11.8M,334,3.3
1517,litkillah,204,7.6M,204,7.9
1518,dele,113,7.6M,113,2.5
1519,theofficialpandora,2.6K,8.9M,2.56K,0.2
1520,jscmila,2K,22.8M,1.97K,0.3
1521,saipallavi.senthamarai,188,6.4M,188,12.7
1522,lasobrideperez,2.4K,6.4M,2.40K,2.8
1523,kerrywashington,2.5K,6.4M,2.47K,0.9
1524,mtv,22.6K,18.6M,22.57K,0.1
1525,annecurtissmith,4.5K,18.6M,4.48K,1.1
1526,christian_fig,1.8K,10.3M,1.80K,2.4
1527,yandel,54,11.8M,54,0.3
1528,vivi,1.8K,13.3M,1.80K,2.3
1529,shopee_br,2.9K,8.9M,2.93K,0
1530,jassie.gill,2.8K,7.6M,2.77K,2.3
1531,shivangijoshi18,566,7.6M,566,6.1
1532,mmoonstar,1.2K,7.6M,1.18K,4.8
1533,delaghetto,242,7.6M,242,0.6
1534,bela,826,7.6M,826,0.8
1535,arjunbijlani,4.2K,7.6M,4.18K,1.3
1536,iamferv,68,6.4M,68,19.6
1537,whitehouse45,3K,6.4M,2.98K,1.6
1538,funnymemes,2.3K,6.4M,2.35K,0.4
1539,mtvwildnout,2.3K,6.4M,2.34K,3.1
1540,mharessa,2.4K,6.4M,2.44K,0.9
1541,fendi,7K,16.9M,7.03K,0.1
1542,carrieunderwood,1.7K,10.3M,1.67K,0.7
1543,juulianapaiva,2.1K,10.3M,2.10K,1.3
1544,joerogan,6.4K,15.1M,6.42K,1.7
1545,hi_high_hiy,137,15.1M,137,18.6
1546,juanpa,2.6K,11.8M,2.65K,1.5
1547,therealstanlee,0.9K,11.8M,0.94K,1.9
1548,ctdk,14.4K,8.9M,14.36K,0.2
1549,the_amanda_nicole,217,8.9M,217,1.5
1550,landrover,1.8K,8.9M,1.78K,0.7
1551,nph,1.1K,8.9M,1.12K,2.2
1552,skuukzky,1.3K,13.3M,1.30K,6
1553,dlwlrma,587,20.8M,587,12
1554,brysontiller,347,6.4M,347,2.8
1555,todayis_wendy,84,6.4M,84,16
1556,realshadmehr,745,6.4M,745,5.2
1557,bathandbodyworks,5.7K,6.4M,5.67K,0.5
1558,olivier_rousteing,7.3K,6.4M,7.27K,0.2
1559,gentilfernanda,4.4K,6.4M,4.42K,0.6
1560,perspolis,3.9K,6.4M,3.90K,5.4
1561,roddyricch,1,6.4M,1,15.2
1562,chloe,657,10.3M,657,0.1
1563,kimmy_kimberley,4.9K,10.3M,4.85K,1.8
1564,neha_rajput___143,2.8K,18.6M,2.84K,0.1
1565,starwars,4.5K,15.1M,4.47K,1.8
1566,bhuvan.bam22,1.5K,15.1M,1.50K,6.1
1567,topshop,22,11.8M,22,0
1568,moschino,12.2K,11.8M,12.19K,0.1
1569,official_pepe,462,11.8M,462,0.6
1570,egupta,382,13.4M,382,1.1
1571,aliexpress,222,7.6M,222,0
1572,mawrellous,1.1K,7.6M,1.13K,0.9
1573,lakers,11.9K,20.8M,11.92K,0.9
1574,seriea,2.6K,6.5M,2.56K,0.8
1575,bmwm,4.3K,8.9M,4.29K,1.1
1576,postmalone,1K,22.9M,0.99K,5.6
1577,tombrady,726,11.8M,726,5.2
1578,adrianalima,1.7K,15.2M,1.72K,1.5
1579,darshanravaldz,3.4K,15.1M,3.41K,3.1
1580,ussypratama,7.6K,15.1M,7.63K,0.3
1581,mercyjohnsonokojie,1.8K,13.4M,1.78K,0.4
1582,avengers,655,13.4M,655,1.5
1583,olamide,8K,7.6M,8K,1.8
1584,tomhardy,379,7.6M,379,3.1
1585,franciscus,1.3K,8.9M,1.27K,1.6
1586,avrillavigne,100,8.9M,100,5.6
1587,davidguetta,1.6K,8.9M,1.57K,1.4
1588,wbpictures,9K,6.5M,9K,0.5
1589,silvestredangond,5.7K,6.5M,5.75K,1
1590,future,1,18.7M,1,3.6
1591,esadolescencia,14.1K,7.6M,14.10K,0.3
1592,gwynethpaltrow,1K,7.6M,1.02K,1.9
1593,yuliett.torres,1.5K,10.3M,1.47K,1
1594,damianlillard,4.2K,8.9M,4.19K,1.2
1595,charlizeafrica,427,6.5M,427,2.5
1596,natgeoyourshot,9.6K,6.5M,9.60K,0.3
1597,wos.ds3,76,6.5M,76,11.8
1598,arrahman,1.1K,6.5M,1.09K,2
1599,lilnasx,29,6.5M,29,8.2
1600,mcpozedorodo,411,6.5M,411,6.6
1601,fentybeauty,9.2K,11.8M,9.22K,0.3
1602,djokernole,1K,11.8M,0.99K,3
1603,jojotodynho,2.1K,18.7M,2.13K,2.7
1604,lisaandlena,2.3K,18.7M,2.25K,0.7
1605,wish,6.5K,7.7M,6.49K,0.1
1606,yerimiese,565,7.7M,565,10.2
1607,hm_son7,163,7.7M,163,4.1
1608,sargunmehta,2.6K,7.7M,2.65K,1.8
1609,awkarin,8.7K,7.7M,8.72K,2
1610,teslamotors,688,8.9M,688,3.2
1611,ps,9,8.9M,9,1
1612,augustalsina,113,6.5M,113,1.7
1613,alinebarros,10K,6.5M,9.98K,0.3
1614,asos,16K,13.4M,15.99K,0.3
1615,timatiofficial,4.3K,18.7M,4.31K,1.4
1616,romeestrijd,2.5K,7.7M,2.53K,3.8
1617,marko,5K,7.7M,5.03K,1.4
1618,brentrivera,2.1K,20.9M,2.12K,5
1619,thejohnabraham,616,10.4M,616,1.6
1620,torylanez,295,10.3M,295,1.6
1621,nagmamirajkar,3K,6.5M,2.99K,3.6
1622,kateupton,1.4K,6.5M,1.43K,1.1
1623,welyanalbaiaty94,1.1K,6.5M,1.12K,1.1
1624,redvelvet.smtown,3K,11.9M,3K,3.6
1625,banksy,130,11.9M,130,14.2
1626,jordynwoods,2.9K,11.9M,2.87K,2.7
1627,syakirdaulay,1.8K,7.7M,1.85K,2.9
1628,arieltatum,276,7.7M,276,1.4
1629,jimin_bighitentertainment,51,7.7M,51,20.4
1630,chieffkeeffsossa,266,7.7M,266,4.1
1631,ivankatrump,3.9K,7.7M,3.89K,5.2
1632,karanjohar,1.7K,10.4M,1.66K,0.9
1633,channingtatum,107,17M,107,3.4
1634,tatizaqui,145,13.4M,145,1.6
1635,klrahul,881,13.4M,881,5.1
1636,youm7,59.1K,10.4M,59.14K,0.1
1637,nesreentafesh,3.1K,10.4M,3.14K,0.8
1638,fernanfloo,127,10.4M,127,12.3
1639,thenikkibella,7.3K,10.4M,7.28K,1.2
1640,yassipressman,4.1K,10.4M,4.10K,0.3
1641,pamela_rf,2.1K,9M,2.08K,2.8
1642,orlabaddie,834,9M,1,0
1643,claudiaalende,1.1K,9M,1.11K,1.3
1644,soyneiva,395,11.9M,395,2.5
1645,ramezgalalac,1.2K,11.9M,1.15K,1.3
1646,brycehall,1.1K,7.7M,1.08K,12.2
1647,tata,4.1K,7.7M,4.10K,4.2
1648,senorita_jessy,1.1K,7.7M,1.10K,0.4
1649,kriswu,366,7.7M,366,6.8
1650,pullandbear,5.4K,7.7M,5.36K,0.1
1651,portalg1,16.5K,7.7M,16.54K,0.2
1652,o.dembele7,233,10.4M,233,6.4
1653,bachchan,1.1K,10.4M,1.10K,0.6
1654,ladbible,28.6K,10.4M,28.57K,0.9
1655,tylerjblackburn,1.2K,10.4M,1.18K,1.3
1656,anyataylorjoy,1.2K,9M,1.19K,11.9
1657,aum_patchrapa,7.5K,13.5M,7.53K,0.6
1658,iamjamiefoxx,2.9K,13.4M,2.91K,1
1659,lildurk,719,13.5M,719,5.3
1660,cescf4bregas,1K,13.5M,1.04K,0.5
1661,tiffanyandco,2.7K,13.5M,2.70K,0.4
1662,casemiro,1.1K,18.8M,1.07K,1.8
1663,realhinakhan,1.8K,18.8M,1.79K,1.8
1664,avani,894,18.9M,894,3.4
1665,prettylittlething,1.3K,18.9M,1.33K,0.2
